example_id                                                    | status | run_time        |
./spec/requests/shelters/shelters_spec.rb[1:6:1]              | passed | 0.0135 seconds  |
./spec/requests/shelters/shelters_spec.rb[1:6:2]              | passed | 0.00986 seconds |
./spec/requests/shelters/staff_spec.rb[1:1:1]                 | passed | 0.01624 seconds |
./spec/requests/shelters/staff_spec.rb[1:1:2]                 | passed | 0.01304 seconds |
./spec/requests/shelters/staff_spec.rb[1:2:1]                 | passed | 0.01111 seconds |
./spec/requests/shelters/staff_spec.rb[1:2:2]                 | passed | 0.01309 seconds |
./spec/requests/shelters/staff_spec.rb[1:2:3]                 | passed | 0.00963 seconds |
./spec/requests/shelters/staff_spec.rb[1:3:1]                 | passed | 0.02764 seconds |
./spec/requests/shelters/staff_spec.rb[1:3:2]                 | passed | 0.0087 seconds  |
./spec/requests/shelters/staff_spec.rb[1:3:3]                 | passed | 0.01536 seconds |
